Port Name,x,y
P001,0,0
P002,0.35626,0.77154
P003,1.33331,1.60115
P004,3.66108,2.87759
P005,7.2922,4.15707
P006,11.35604,5.13022
P007,15.59135,5.85007
P008,19.91328,6.3748
P009,24.28443,6.74148
P010,28.68627,6.9748
P011,33.10518,7.09219
P012,37.53128,7.10225
P013,41.95991,7.00937
P014,46.38793,6.81628
P015,50.8156,6.52532
P016,55.2486,6.14225
P017,59.69223,5.68254
P018,64.13685,5.16453
P019,68.579,4.59453
P020,73.02401,3.97658
P021,77.47357,3.32133
P022,81.93114,2.63941
P023,86.38589,1.94846
P024,90.8108,1.27669
P025,100,0
P026,0,0
P027,0.43123,-0.57176
P028,1.47147,-1.09275
P029,3.92479,-1.77203
P030,7.79506,-2.3727
P031,12.0143,-2.76684
P032,16.32276,-3.02746
P033,20.67013,-3.19868
P034,25.03792,-3.30615
P035,29.41554,-3.36298
P036,33.79772,-3.37697
P037,38.18675,-3.35304
P038,42.57527,-3.29378
P039,46.96278,-3.20029
P040,51.35062,-3.07206
P041,55.73662,-2.9106
P042,60.12075,-2.71424
P043,64.50502,-2.48323
P044,68.8901,-2.21935
P045,73.28011,-1.92575
P046,77.67783,-1.61034
P047,82.07965,-1.28273
P048,86.47978,-0.94874
P049,100,0
